alarm_id,dataset_vehicle_code,unit_id,event_type,period_index,period_type,period_duration,track_point_count
9cf96b29-9309-4bf4-9c4f-fdf847e196f6,T780RN198,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,SharpAcceleration,1,1,00:14:19,63
a9e4a086-c515-4a63-8722-55f6f04fcf81,S725AT159,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,Distraction,0,1,00:15:33,122
a9e4a086-c515-4a63-8722-55f6f04fcf81,S725AT159,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,Distraction,1,2,00:12:45,2
a9e4a086-c515-4a63-8722-55f6f04fcf81,S725AT159,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,Distraction,2,1,00:01:53,18
b569370b-2c25-410b-b6df-b1f13d81bf84,O802UE198,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,SharpBraking,0,1,00:15:25,89
b569370b-2c25-410b-b6df-b1f13d81bf84,O802UE198,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,SharpBraking,1,2,00:13:15,2
b569370b-2c25-410b-b6df-b1f13d81bf84,O802UE198,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,SharpBraking,2,1,00:01:38,12
b855d68a-fb90-4b80-b7ed-16616fee9b9f,S725AT159,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,Yawning,0,1,00:30:09,180
ba9fb320-7c41-4927-bd38-5b13becd6132,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,NoDriver,0,2,00:03:04,2
ba9fb320-7c41-4927-bd38-5b13becd6132,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,NoDriver,1,1,00:18:52,106
ba9fb320-7c41-4927-bd38-5b13becd6132,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,NoDriver,2,2,00:04:23,2
ba9fb320-7c41-4927-bd38-5b13becd6132,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,NoDriver,3,3,00:04:51,1
c9d7216b-0959-495b-ba1e-8ee32d6d4cc7,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,DangerousDistance,0,1,00:31:00,162
cf91b784-1798-4008-8acd-760eb8d365e7,S806UA797,412d7022-5aaf-4c87-ace9-d3160743636f,Drowsiness,0,1,00:30:08,115
cfc131e6-dc1f-4809-9b97-60b5b972b1ce,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,SharpAcceleration,0,1,00:30:04,669
e51a3984-2706-4972-b850-d424435dcd11,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Smoking,0,2,00:07:13,2
e51a3984-2706-4972-b850-d424435dcd11,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Smoking,1,1,00:18:52,106
e51a3984-2706-4972-b850-d424435dcd11,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Smoking,2,2,00:04:08,2
e7652db8-5f43-41de-a26b-6f4ad25fc476,M482AT156,8259025c-3675-42b9-bc8d-8ae1004da285,NoDriver,0,1,00:34:08,78
ea559499-85da-46f3-8990-f9bd43ee96ac,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Distraction,0,2,00:00:44,2
ea559499-85da-46f3-8990-f9bd43ee96ac,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Distraction,1,1,00:18:52,106
ea559499-85da-46f3-8990-f9bd43ee96ac,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,Distraction,2,2,00:04:23,2
